SKU,DESCRIPCION,GRUPO,FAMILIA,SUBFAMILIA,TIPO
P0201017901,CREMA EUROPA 60.0 X 60.0 X 1.5cm  SELECTO  PULIDO,PIEDRAS NATURALES,LOZAS,CALIZAS,CALIZA CREMA EUROPA
P0201017902,CREMA EUROPA 60.0 X 60.0 X 1.5cm  STANDARD PULIDO,PIEDRAS NATURALES,LOZAS,CALIZAS,CALIZA CREMA EUROPA
P0201017903,CREMA EUROPA 60.0 X 40.0 X 1.5cm  EXTRA PULIDO,PIEDRAS NATURALES,LOZAS,CALIZAS,CALIZA CREMA EUROPA
P0101017901,CREMA EUROPA PLACA  2.0cm,PIEDRAS NATURALES,PLACAS BASICAS,CALIZAS,CALIZA CREMA EUROPA
P0101018001,CALIZA EUROGEMA PLACA  2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,CALIZAS,CALIZA EUROGEMA
P0201018001,CREMA NOVA  60.0 X 60.0 X 1.5cm  EXTRA PULIDO,PIEDRAS NATURALES,LOZAS,CALIZAS,CALIZA EUROGEMA
P0201018002,CALIZA EUROGEMA  60.0 X 60.0 X 1.5cm  STANDARD PULIDO,PIEDRAS NATURALES,LOZAS,CALIZAS,CALIZA EUROGEMA
P0201018003,CREMA NOVA  60.0 X 40.0 X 1.5cm  EXTRA PULIDO,PIEDRAS NATURALES,LOZAS,CALIZAS,CALIZA EUROGEMA
P0201018004,CREMA NOVA  60.0 X 40.0 X 1.5cm  STANDARD PULIDO,PIEDRAS NATURALES,LOZAS,CALIZAS,CALIZA EUROGEMA
P0201018005,CREMA NOVA  40.0 X 40.0 X 1.5cm  EXTRA PULIDO,PIEDRAS NATURALES,LOZAS,CALIZAS,CALIZA EUROGEMA
P0107018101,QUARTZIA IVORY PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS DE CUARZO & OTRAS TEC,QUARTZIA,QUARTZIA IVORY
P0101018201,MARMOL RAIN FOREST BROWN PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL RAIN FOREST
P0101018202,MARMOL RAIN FOREST BROWN PLACA X 2.0cm CEPILLADO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL RAIN FOREST
P0101018203,MARMOL RAIN FOREST GOLD PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL RAIN FOREST
P0101018204,MARMOL RAIN FOREST GOLD PLACA X 2.0cm CEPILLADO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL RAIN FOREST
P0101018205,MARMOL RAIN FOREST GREEN PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL RAIN FOREST
P0101018206,MARMOL RAIN FOREST GREEN PLACA X 2.0cm CEPILLADO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL RAIN FOREST
P0102018301,CUARCITA CARPE DIEM  PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,CUARCITAS,CUARCITA CARPE DIEM
P0407018302,CUARCITA CARPE DIEM  PLACA X 3.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,CUARCITAS,CUARCITA CARPE DIEM
